,static_text,log_level,project,log_level_encoded
378,$$$Empty Message$$$,error,HBase,0
384,"Allocating buffers total= | , sizePerBuffer= | , count=",info,HBase,1
385,Buffer creation interrupted,error,HBase,0
386,$$$Empty Message$$$,error,HBase,0
387,$$$Empty Message$$$,error,HBase,0
392,"Can not find hadoop 2.7+ printThreadInfo method, try hadoop hadoop 2.6 and earlier",info,HBase,1
395,Exception caught during division,error,HBase,0
397,Constructed invalid call. class= |  method= |  types=,error,HBase,0
398,SecurityException calling method. class= |  method= |  types=,error,HBase,0
400,FileSystem doesn't support getDefaultBlockSize,info,HBase,1
401,Doesn't have access to getDefaultBlockSize on FileSystems,info,HBase,1
402,FileSystem doesn't support getDefaultReplication,info,HBase,1
403,Doesn't have access to getDefaultReplication on FileSystems,info,HBase,1
429,$$$Empty Message$$$,info,HBase,1
449,$$$Empty Message$$$,info,HBase,1
453,before:  |  ,info,HBase,1
454,after:  |  ,info,HBase,1
455,No resource analyzer,info,HBase,1
456,No resource analyzer,info,HBase,1
468,Waiting up to [{0}] milli-secs(wait.for.ratio=[{1}]),info,HBase,1
471,"Failed to get explanation, ",error,HBase,0
473,Maximum from this region is  | : ,info,HBase,1
474,Minimum from this region is  | : ,info,HBase,1
476,Row counter from this region is  | : ,info,HBase,1
477,"compressed= | , compression type= | , compression codec= | , userToken=",info,HBase,1
479,$$$Empty Message$$$,error,HBase,0
483,Setting sum result to -1 to indicate error,info,HBase,1
484,Setting sum result to -1 to indicate error,info,HBase,1
485,Returning sum  |  for region ,info,HBase,1
486,Setting sum result to -1 to indicate error,info,HBase,1
487,Setting sum result to -1 to indicate error,info,HBase,1
488,Returning result ,info,HBase,1
489,Setting sum result to -1 to indicate error,info,HBase,1
490,Setting sum result to -1 to indicate error,info,HBase,1
491,Warmed up region location cache for  |  got ,info,HBase,1
492,Failed to sent put  | .,info,HBase,1
493,exception while creating/destroying Connection or BufferedMutator,info,HBase,1
495,Refresh HFiles from table  |   failed: ,error,HBase,0
496,Create table took: ,info,HBase,1
498,Exception while trying to refresh store files: ,error,HBase,0
499,$$$Empty Message$$$,error,HBase,0
500,$$$Empty Message$$$,error,HBase,0
501,Creating MemcachedBlockCache,info,HBase,1
509,Ignoring unknown Metric class ,info,HBase,1
513,Registering  |  ,info,HBase,1
515,Error trying to remove  |  from ,info,HBase,1
518,Error trying to remove  |  from ,info,HBase,1
527, is incomplete. Sending auto-refresh header.,info,HBase,1
530,Http request log for  |  is not defined,info,HBase,1
532,adding path spec: ,info,HBase,1
533,ASYNC_PROFILER_HOME environment variable and async.profiler.home system property not specified. Disabling /prof endpoint.,info,HBase,1
534,"addJerseyResourcePackage: packageName= | , pathSpec=",info,HBase,1
535,Adding Kerberos (SPNEGO) filter to ,info,HBase,1
536,Added filter  |  (class= | ) to context ,info,HBase,1
537,Added filter  |  (class= | ) to context ,info,HBase,1
538,Added global filter ' | ' (class= | ),info,HBase,1
539,HttpServer.start() threw a non Bind IOException,info,HBase,1
540,HttpServer.start() threw a MultiException,info,HBase,1
541,Jetty bound to port ,info,HBase,1
542,Error while stopping listener for webapp,error,HBase,0
543,Error while stopping web app context for webapp ,error,HBase,0
544,Error while stopping web server for webapp ,error,HBase,0
545,Servlet process PID:  |  asyncProfilerHome: ,info,HBase,1
548,Caught an exception while processing JMX request,error,HBase,0
549,Caught an exception while processing JMX request,error,HBase,0
551,Unable to get value from MBean=  | for attribute= |  ,error,HBase,0
552,keys and values arrays must be same size,error,HBase,0
553,keys and values arrays can not be empty;,error,HBase,0
554,Running command async: ,info,HBase,1
557,Getting attribute  |  of  |  threw an exception,error,HBase,0
558,getting attribute  |  of  |  threw an exception,error,HBase,0
559,getting attribute  |  of  |  threw an exception,error,HBase,0
560,getting attribute  |  of  |  threw an exception,error,HBase,0
561,getting attribute  |  of  |  threw an exception,error,HBase,0
562,Problem while trying to process JMX query:  |  with MBean ,error,HBase,0
563,Problem while trying to process JMX query:  |  with MBean ,error,HBase,0
565,getting attribute  |  of  |  threw an exception,error,HBase,0
567,getting attribute  |  of  |  threw an exception,error,HBase,0
568,getting attribute  |  of  |  threw an exception,error,HBase,0
569,getting attribute  |  of  |  threw an exception,error,HBase,0
570,"get:  | = | ,  | =",info,HBase,1
571,Performing  |  command against  |  on  | ...,info,HBase,1
572,Executing POST against  |  with body  | ...,info,HBase,1
573,Executing GET against  | ...,info,HBase,1
574,Running with SSH user [ | ] and options [ | ],info,HBase,1
575,Executing full command [ | ],info,HBase,1
576,"Executing remote command:  |   |  , hostname:",info,HBase,1
577,"Executed remote command, exit code: |  , output:",info,HBase,1
580,Starting RS on: ,info,HBase,1
581,Aborting RS: ,info,HBase,1
582,Stopping RS: ,info,HBase,1
583,Starting ZooKeeper node on: ,info,HBase,1
584,Aborting ZooKeeper node on: ,info,HBase,1
585,Stopping ZooKeeper node: ,info,HBase,1
586,Starting data node on: ,info,HBase,1
587,Aborting data node on: ,info,HBase,1
588,Stopping data node on: ,info,HBase,1
589,Starting name node on: ,info,HBase,1
590,Aborting name node on: ,info,HBase,1
591,Stopping name node on: ,info,HBase,1
592,Waiting for service:  |  to stop: ,info,HBase,1
593,Waiting for service:  |  to start: ,info,HBase,1
594,Starting Master on:  | :,info,HBase,1
595,Aborting Master: ,info,HBase,1
596,Stopping Master: ,info,HBase,1
600,Restoring cluster - started,info,HBase,1
601,Restoring cluster - done,info,HBase,1
602,Restoring cluster - Initial active master :  |  has changed to : ,info,HBase,1
603,Restoring cluster - starting initial active master at:,info,HBase,1
604,Restoring cluster - stopping backup master: ,info,HBase,1
605,Restoring cluster - stopping active master: ,info,HBase,1
606,Restoring cluster - starting initial backup master: ,info,HBase,1
607,Restoring cluster - starting initial backup master: ,info,HBase,1
608,Restoring cluster - stopping backup master: ,info,HBase,1
611,Restoring cluster - starting initial region server: ,info,HBase,1
612,Restoring cluster - stopping initial region server: ,info,HBase,1
616,Added new HBaseAdmin,info,HBase,1
619,Deleting table,info,HBase,1
620,Deleted table,info,HBase,1
621,Restoring the cluster,info,HBase,1
622,Done restoring the cluster,info,HBase,1
623,Write failed,error,HBase,0
624,Read failed,error,HBase,0
625,STATUS ,info,HBase,1
627,Performing action: Restart active namenode,info,HBase,1
628,Found active namenode host:,info,HBase,1
629,Restarting Active NameNode :,info,HBase,1
630,"Performing action: Compact random region of table  | , major=",info,HBase,1
631,Table  |  doesn't have regions to compact,info,HBase,1
635,Performing action: Change split policy of table ,info,HBase,1
636,Changing  |  split policy to ,info,HBase,1
637,Performing action: Restart random region server,info,HBase,1
638,Performing action: Merge random adjacent regions of table ,info,HBase,1
639,Table  |  doesn't have enough regions to merge,info,HBase,1
642,Performing action: Move regions of table *,info,HBase,1
643,Table * doesn't have regions to move,info,HBase,1
646,Performing action: Restart random RS holding table ,info,HBase,1
647,Performing action: Restart random data node,info,HBase,1
648,Performing action: Rolling batch restarting %d%% of region servers,info,HBase,1
649,Problem killing but presume successful; code=,info,HBase,1
650,"Problem starting, will retry; code=",info,HBase,1
651,Killed ,info,HBase,1
652,Started ,info,HBase,1
653,Performing action: Split all regions of  ,info,HBase,1
654,Skipping split of all regions.,info,HBase,1
655,Not killing server because it holds hbase:meta.,info,HBase,1
656,Killing master ,info,HBase,1
657,Killed master ,info,HBase,1
658,Starting master ,info,HBase,1
659,Started master ,info,HBase,1
660,Killing regionserver ,info,HBase,1
661,Killed regionserver  | . Reported num of rs:,info,HBase,1
662,Starting regionserver ,info,HBase,1
663,Started regionserver  | . Reported num of rs:,info,HBase,1
664,Killing zookeeper node ,info,HBase,1
665,Killed zookeeper node  | . Reported num of rs:,info,HBase,1
666,Starting zookeeper node ,info,HBase,1
667,Started zookeeper node ,info,HBase,1
668,Killing datanode ,info,HBase,1
669,Killed datanode  | . Reported num of rs:,info,HBase,1
670,Starting datanode ,info,HBase,1
671,Started datanode ,info,HBase,1
672,Killing namenode :-,info,HBase,1
673,Killed namenode: | . Reported num of rs:,info,HBase,1
674,Starting Namenode :-,info,HBase,1
675,Started namenode:,info,HBase,1
677,Moving  |  regions from  |  servers to  |  different servers,info,HBase,1
679,Balancer didn't succeed,error,HBase,0
680,"Performing action: Compact table  | , major=",info,HBase,1
682,Performing action: Snapshot table ,info,HBase,1
683,Performing action: Split random region of table ,info,HBase,1
684,Table  |  doesn't have regions to split,info,HBase,1
688,Performing action: Restart random zookeeper node,info,HBase,1
689,Performing action: Flush random region of table ,info,HBase,1
690,Table  |  doesn't have regions to flush,info,HBase,1
694,Performing action: Restart region server holding META,info,HBase,1
696,Performing action: Flush table ,info,HBase,1
698,Unbalancing regions,info,HBase,1
699,Performing action: Batch restarting %d%% of region servers,info,HBase,1
700,Killing region server:,info,HBase,1
701,Killed  |  region servers. Reported num of rs:,info,HBase,1
702,Starting region server:,info,HBase,1
703,Started  |  region servers. Reported num of rs:,info,HBase,1
704,Balancing regions,info,HBase,1
705,Performing action: Truncate table  | preserve splits ,info,HBase,1
706,Performing action: Change bloom filter on all columns of table ,info,HBase,1
708,Sleeping for:,info,HBase,1
709,"Performing action: Changing compression algorithms to  |  is not supported, pick another one",info,HBase,1
711,Performing action: Move random region of table ,info,HBase,1
712,Table  |  doesn't have regions to move,info,HBase,1
717,Performing action: Restart active master,info,HBase,1
719,Cluster status\n,info,HBase,1
720,"Performing action: Compact mob of table  | , major=",info,HBase,1
722,Error trying to create  |  could not load it by class name,error,HBase,0
724,Sleeping for * ms to add jitter,info,HBase,1
725,Sleeping for * ms,info,HBase,1
726,"Using ChaosMonkey Policy *, period=* ms",info,HBase,1
731,Chaos monkeys are running.,info,HBase,1
732,Chaos monkeys are stopped.,info,HBase,1
735,$$$Empty Message$$$,error,HBase,0
736,$$$Empty Message$$$,error,HBase,0
737,$$$Empty Message$$$,error,HBase,0
738,$$$Empty Message$$$,error,HBase,0
741,Current scan=,info,HBase,1
743,Mapper took  | ms to process  |  rows,info,HBase,1
746,Mapper took  | ms to process  |  rows,info,HBase,1
747,$$$Empty Message$$$,info,HBase,1
748,lastSuccessfulRow=,info,HBase,1
749,split:  | ->,info,HBase,1
751,Interrupted obtaining user authentication token,info,HBase,1
752,Interrupted obtaining user authentication token,info,HBase,1
762,Setting up  |  mapper.,info,HBase,1
763,setting WAL durability to ,info,HBase,1
764,setting WAL durability to default.,info,HBase,1
765,Problem connecting to ZooKeper during task setup,error,HBase,0
766,Problem reading ZooKeeper data during task setup,error,HBase,0
767,Problem setting up task,error,HBase,0
770,Couldn't instantiate filter!,error,HBase,0
771,Couldn't instantiate filter!,error,HBase,0
772,Couldn't instantiate filter!,error,HBase,0
773,Couldn't instantiate filter!,error,HBase,0
774,Couldn't instantiate filter!,error,HBase,0
776,Use Large Result!!,info,HBase,1
777,writing to hfiles for bulk load.,info,HBase,1
778,writing directly to table from Mapper.,info,HBase,1
779,Flushing all data that skipped the WAL.,info,HBase,1
780,An error occurred.,error,HBase,0
781,$$$Empty Message$$$,error,HBase,0
782,$$$Empty Message$$$,error,HBase,0
783,Read source hash manifest: ,info,HBase,1
784,Read  |  partition keys,info,HBase,1
786,Read source hash manifest: ,info,HBase,1
787,Read  |  partition keys,info,HBase,1
789,Target missing row: ,info,HBase,1
790,Source missing row: ,info,HBase,1
796,Suppressing exception from closing tables,error,HBase,0
797,Map-reduce job failed!,info,HBase,1
801,Region size calculation disabled.,info,HBase,1
802,Region size calculation disabled for system tables.,info,HBase,1
803,Calculating region sizes for table \ | \,info,HBase,1
807,Initialize HFileRecordReader for *,info,HBase,1
808,Seeking to start,info,HBase,1
812,$$$Empty Message$$$,error,HBase,0
813,$$$Empty Message$$$,error,HBase,0
816,***Dry run: Failed to delete table '%s'.***%n%s,error,HBase,0
817,Dry run: Deleted table '%s'.,info,HBase,1
818,$$$Empty Message$$$,error,HBase,0
819,$$$Empty Message$$$,error,HBase,0
820,$$$Empty Message$$$,error,HBase,0
821,Opening reader for ,info,HBase,1
823,Skipped  |  entries.,info,HBase,1
824,Reached end of file.,info,HBase,1
825,"Skipped  |  entries, until ts:  | .",info,HBase,1
826,Reached ts:  |  ignoring the rest of the file.,info,HBase,1
827,Closing reader,info,HBase,1
830,Found: ,info,HBase,1
832,Setting Row Filter for counter.,info,HBase,1
833,Setting TimeRange for counter.,info,HBase,1
834,Load exported file using deserializer for HBase 0.94 format,info,HBase,1
835,Failing job because count of ' | ' does not match expected count of ' | ',error,HBase,0
836,Setting Scan Filter for Export.,info,HBase,1
837,Batching could not be set,error,HBase,0
838,Caching could not be set,error,HBase,0
839,"versions= | , starttime= | , endtime= | , keepDeletedCells= | , visibility labels=",info,HBase,1
840,Restoring snapshot  |  into  |  for MultiTableSnapshotInputFormat,info,HBase,1
841,Error opening 'labels' table,error,HBase,0
842,Error scanning 'labels' table,error,HBase,0
843,Failed reading 'labels' tags,error,HBase,0
847,Problem in running map.,error,HBase,0
848,HFiles will be stored at ,info,HBase,1
849,Map-reduce job failed!,info,HBase,1
850,Files are not bulkloaded!,info,HBase,1
851,Trying to bulk load data to destination table: ,info,HBase,1
852,command: ./bin/hbase org.apache.hadoop.hbase.tool.LoadIncrementalHFiles * *,info,HBase,1
853,Deleting folder  |  failed!,error,HBase,0
855,$$$Empty Message$$$,info,HBase,1
856,"startkey= | , endkey=",info,HBase,1
857,Writing  |  partition keys to ,info,HBase,1
858,Map-reduce job failed!,info,HBase,1
859,Closing the previously opened scanner object.,info,HBase,1
860,Current scan=,info,HBase,1
862,Mapper took  | ms to process  |  rows,info,HBase,1
863,recovered from ,info,HBase,1
865,Mapper took  | ms to process  |  rows,info,HBase,1
866,$$$Empty Message$$$,info,HBase,1
867,lastSuccessfulRow=,info,HBase,1
870,Input split length: {0} bytes.,info,HBase,1
879,Writer= | ,info,HBase,1
880,Looking up current regions for table ,info,HBase,1
882,Writing partition information to ,info,HBase,1
884,bulkload locality sensitive enabled,info,HBase,1
885,Configuring  |  reduce partitions  | to match current region count for all tables,info,HBase,1
886,"Incremental output configured for tables:  | ,",info,HBase,1
887,Incremental table  |  output configured.,info,HBase,1
888,Input split length:  |  bytes.,info,HBase,1
893,Created table instance for ,info,HBase,1
894,$$$Empty Message$$$,error,HBase,0
895,Setting number of version inside map as: ,info,HBase,1
896,Using peer snapshot: |  with temp dir: |  peer root uri: |  peerFSAddress:,info,HBase,1
897,Good row key: ,info,HBase,1
898,Good row key (with recompare): ,info,HBase,1
899,"recompare fail after sleep, rowkey=",error,HBase,0
900,", rowkey=",error,HBase,0
901,fail to scan peer table in cleanup,error,HBase,0
902,fail to close source table in cleanup,error,HBase,0
903,fail to close source connection in cleanup,error,HBase,0
904,fail to close replicated table in cleanup,error,HBase,0
905,fail to close replicated connection in cleanup,error,HBase,0
906,"Peer Quorum Address:  | , Peer Configuration: ",info,HBase,1
907,Peer Quorum Address: ,info,HBase,1
908,Peer Table Name: ,info,HBase,1
909,Number of version: ,info,HBase,1
910,Number of versions set to ,info,HBase,1
911,Using source snapshot- |  with temp dir:,info,HBase,1
912,Compact table= |  region= |  family=,info,HBase,1
913,Create input file= |  with  |  dirs to compact.,info,HBase,1
914,Using bufferSize=,info,HBase,1
917,"Skip copy  |  to  | , same file.",info,HBase,1
923,copy completed for input= |  output=,info,HBase,1
924,size= |  ( | ) |  time= |  %.3fM/sec,info,HBase,1
925,Error copying  |  to ,error,HBase,0
926,Unable to open source file=,error,HBase,0
927,Unable to get the status for source file=,error,HBase,0
928,Unable to get the status for source file=,error,HBase,0
930,Loading Snapshot ' | ' hfile list,info,HBase,1
932,Use -h or --help for usage instructions.,error,HBase,0
933,Use -h or --help for usage instructions.,error,HBase,0
936,Copy Snapshot Manifest from  |  to ,info,HBase,1
939,Finalize the Snapshot Export,info,HBase,1
940,Verify snapshot integrity,info,HBase,1
941,Export Completed: ,info,HBase,1
942,Snapshot export failed,error,HBase,0
945,Table  |  created,info,HBase,1
946,Created  |  connections for  |  threads,info,HBase,1
947,$$$Empty Message$$$,info,HBase,1
948,Finished  |  in  | ms over  |  rows,info,HBase,1
949,[ | ] Summary of timings (ms): ,info,HBase,1
950,[ |  duration ] | \tMin:  | ms | \tMax:  | ms | \tAvg:  | ms,info,HBase,1
951,[ Avg latency (us)]\t,info,HBase,1
952,[ Avg TPS/QPS]\t | \t row per second,info,HBase,1
953,"Client= | , input=",info,HBase,1
954,Sampling 1 every  |  out of  |  total rows.,info,HBase,1
955,Timed test starting in thread ,info,HBase,1
956,Cycle= |  of ,info,HBase,1
957,MultiGet enabled. Sending GETs in batches of  | .,info,HBase,1
959,MultiPut enabled. Sending PUTs in batches of  | .,info,HBase,1
960,Scan for key range %s - %s returned %s rows,info,HBase,1
961,MultiGet enabled. Sending GETs in batches of  | .,info,HBase,1
963,MultiPut enabled. Sending PUTs in batches of  | .,info,HBase,1
965, test run options=,info,HBase,1
966,Loaded MetricRegistries ,info,HBase,1
969,CODE-BUG unknown timeout task type *,error,HBase,0
970,"ADDED *; timeout=*, timestamp=*",info,HBase,1
971,Ignoring * exception: *,error,HBase,0
975,"* bypassed, returning null to finish it",info,HBase,1
976,"* bypassed, skipping rollback",info,HBase,1
997,"Instantiated, coreThreads=* (allowCoreThreadTimeOut=true), queueMaxSize=*, operationDelay=*",info,HBase,1
998,Stopping procedure remote dispatcher,info,HBase,1
1010,Corrupt ,error,HBase,0
1013,$$$Empty Message$$$,error,HBase,0
1014,Starting * core workers (bigger of cpus/4 or 16) with max (burst) worker count=*,info,HBase,1
1015,Recovered * lease in *,info,HBase,1
1016,Loaded * in *,info,HBase,1
1019,Stopping,info,HBase,1
1020,ThreadGroup * contains running threads; *: See STDOUT,error,HBase,0
1027,Recursive bypass on children of pid=*,info,HBase,1
1038,Listener  |  had an error: ,error,HBase,0
1039,Listener  |  had an error: ,error,HBase,0
1040,Listener  |  had an error: ,error,HBase,0
1044,LOCK_EVENT_WAIT rollback...,info,HBase,1
1045,LOCK_EVENT_WAIT can't rollback child running?...,info,HBase,1
1046, ,info,HBase,1
1048,Finished  |  in ,info,HBase,1
1049,Rolled back * exec-time=*,info,HBase,1
1051,CODE-BUG: Uncaught runtime exception for ,error,HBase,0
1056,$$$Empty Message$$$,error,HBase,0
1058,Initialized subprocedures=,info,HBase,1
1061,"Finished subprocedure pid=*, resume processing parent *",info,HBase,1
1066,CODE-BUG: uncatched runtime exception for procedure: ,error,HBase,0
1067,CODE-BUG: uncatched runtime exception for completion cleanup: *,error,HBase,0
1069,ASSERT pid=,info,HBase,1
1081,Archiving  |  to ,info,HBase,1
1085,unexpected active children for root-procedure: *,error,HBase,0
1086,"Missing stack id *, max stack id is *, root procedure is *",error,HBase,0
1087,"Multiple procedures * have the same stack id *, max stack id is *, root procedure is *",error,HBase,0
1088,Rebuilding tracker for *,info,HBase,1
1090,Read * entries in *,info,HBase,1
1091,While reading entry #* in *,error,HBase,0
1096,Got an exception from the sync-loop,error,HBase,0
1097,"Stopping the WAL Procedure Store, isAbort= |  (self aborting)",info,HBase,1
1109,"Unable to serialize one of the procedure: proc= | , subprocs=",error,HBase,0
1111,Unable to serialize one of the procedure: ,error,HBase,0
1113,Unable to serialize the procedure: ,error,HBase,0
1115,Unable to serialize the procedure: ,error,HBase,0
1117,Unable to serialize the procedure: ,error,HBase,0
1119,Unable to serialize the procedures: ,error,HBase,0
1123,"Sync slots after log roll failed, abort.",error,HBase,0
1126,Unable to roll the log,error,HBase,0
1132,Log file with id=* already exists,error,HBase,0
1136,"Rolled new Procedure Store WAL, id=*",info,HBase,1
1138,Unable to close the stream,error,HBase,0
1139,Remove the oldest log *,info,HBase,1
1140,"Remove all state logs with ID less than *, since *",info,HBase,1
1143,Unable to remove log: ,error,HBase,0
1148,$$$Empty Message$$$,error,HBase,0
1150," znode expired, triggering replicatorRemoved event",info,HBase,1
1155,Atomically moving */*'s WALs to *,info,HBase,1
1156,Removed empty */*,info,HBase,1
1159,Atomically moved */*'s WALs to *,info,HBase,1
1160,"Claim queue queueId=* from * to * failed with *, someone else took the log?",info,HBase,1
1162,"Replication queue node cversion changed from %d to %d, retry = %d",info,HBase,1
1163,Adding peer * to hfile reference queue.,info,HBase,1
1165,Removing peer * from hfile reference queue.,info,HBase,1
1172,Found invalid server name:,error,HBase,0
1173,Found invalid server name at the end:,error,HBase,0
1181,$$$Empty Message$$$,error,HBase,0
1182,$$$Empty Message$$$,error,HBase,0
1186,Exception occurred while processing  |  : ,error,HBase,0
1196,Caught exception,info,HBase,1
1206,Could not parse: ,error,HBase,0
1211,Failed to start server,error,HBase,0
1212,***** STARTING service ' | ' *****,info,HBase,1
1213,***** STOPPING service ' | ' *****,info,HBase,1
1256,Failed to negotiate with the server.,error,HBase,0
1258,"Adding cross-site request forgery (CSRF) protection,  | headerName = %s, methodsToIgnore = %s, browserUserAgents = %s",info,HBase,1
1261,$$$Empty Message$$$,info,HBase,1
1262,Blocking cluster status request,info,HBase,1
1264,Total # of splits: ,info,HBase,1
1266,Table created with  |  splits,info,HBase,1
1267,Table  |  created,info,HBase,1
1268,client- |  ,info,HBase,1
1269,Finished  |  in  | ms writing  |  rows,info,HBase,1
1271,[ | ] Summary of timings (ms): ,info,HBase,1
1272,[ | ] | \tMin:  | ms | \tMax:  | ms | \tAvg:  | ms,info,HBase,1
1273,Timed test starting in thread ,info,HBase,1
1274,Scan for key range %s - %s returned %s rows,info,HBase,1
1275,$$$Empty Message$$$,info,HBase,1
1276,Failed,error,HBase,0
1277,Failed,error,HBase,0
1278," initiates rsgroup info retrieval, group=",info,HBase,1
1279," initiates rsgroup info retrieval, table=",info,HBase,1
1280, move servers  |  to rsgroup ,info,HBase,1
1281, move tables  |  to rsgroup ,info,HBase,1
1282, add rsgroup ,info,HBase,1
1283, remove rsgroup ,info,HBase,1
1284," balance rsgroup, group=",info,HBase,1
1285, list rsgroup,info,HBase,1
1286," initiates rsgroup info retrieval, server=",info,HBase,1
1287, move servers  |  and tables  |  to rsgroup,info,HBase,1
1288, remove decommissioned servers from rsgroup: ,info,HBase,1
1289,Master has not initialized yet; temporarily using default RSGroup 'default' for deploy of system table,info,HBase,1
1293,"Moving server region *, which do not belong to RSGroup *",info,HBase,1
1294,Server * has no more regions to move for RSGroup,info,HBase,1
1297,Moving region(s) for table * to RSGroup *,info,HBase,1
1298,Moving region * to RSGroup *,info,HBase,1
1299,Move servers done: * => *,info,HBase,1
