index,log_messages,log_level,label,lemmas,pos,tag,dep,alpha,stop
7506,restoring cluster,info,1.0,restore cluster,VERB NOUN,VBG NN,ROOT dobj,2,0
7512,deleting table,info,1.0,delete table,VERB NOUN,VBG NN,amod ROOT,2,0
7513,deleted table,info,1.0,delete table,VERB NOUN,VBN NN,amod ROOT,2,0
7520,creating table,info,1.0,create table,VERB NOUN,VBG NN,compound ROOT,2,0
7521,created table,info,1.0,create table,VERB NOUN,VBN NN,amod ROOT,2,0
7523,removing namespace,info,1.0,remove namespace,VERB NOUN,VBG NN,ROOT dobj,2,0
7524,creating namespace,info,1.0,create namespace,VERB NOUN,VBG NN,ROOT dobj,2,0
7525,created namespace,info,1.0,create namespace,VERB NOUN,VBN NN,amod ROOT,2,0
7526,modifying namespace,info,1.0,modify namespace,VERB NOUN,VBG NN,amod ROOT,2,0
7527,modified namespace,info,1.0,modify namespace,VERB NOUN,VBN NN,amod ROOT,2,0
7529,deleted namespace,info,1.0,delete namespace,VERB NOUN,VBN NN,amod ROOT,2,0
7531,enabled table,info,1.0,enable table,VERB NOUN,VBN NN,amod ROOT,2,0
7533,performing action,info,1.0,perform action,VERB NOUN,VBG NN,ROOT dobj,2,0
7540,verify namespaces,info,1.0,verify namespace,VERB NOUN,VB NNS,ROOT dobj,2,0
7560,started server,info,1.0,start server,VERB NOUN,VBN NN,ROOT dobj,2,0
7561,stopping server,info,1.0,stop server,VERB NOUN,VBG NN,compound ROOT,2,0
7562,stopped server,info,1.0,stop server,VERB NOUN,VBN NN,amod ROOT,2,0
7563,starting test,info,1.0,start test,VERB NOUN,VBG NN,compound ROOT,2,0
7564,starting client,info,1.0,start client,VERB NOUN,VBG NN,amod ROOT,2,0
7567,stopping clients,info,1.0,stop client,VERB NOUN,VBG NNS,ROOT dobj,2,0
7568,stopping client,info,1.0,stop client,VERB NOUN,VBG NN,amod ROOT,2,0
7569,stopping rpcclient,info,1.0,stop rpcclient,VERB NOUN,VBG NN,ROOT dobj,2,0
7570,stopping cluster,info,1.0,stop cluster,VERB NOUN,VBG NN,amod ROOT,2,0
7571,creating tables,info,1.0,create table,VERB NOUN,VBG NNS,ROOT dobj,2,0
7574,running copiers,info,1.0,run copier,VERB NOUN,VBG NNS,amod ROOT,2,0
7577,verifying table,info,1.0,verify table,VERB NOUN,VBG NN,amod ROOT,2,0
7583,starting iteration,info,1.0,start iteration,VERB NOUN,VBG NN,ROOT dobj,2,0
7584,generating data,info,1.0,generate datum,VERB NOUN,VBG NNS,ROOT dobj,2,0
7598,found cell,info,1.0,find cell,VERB NOUN,VBN NN,amod ROOT,2,0
7618,closed leases,info,1.0,close lease,VERB NOUN,VBN NNS,amod ROOT,2,0
7629,stopping server,info,1.0,stop server,VERB NOUN,VBG NN,compound ROOT,2,0
7630,exiting stopping,info,1.0,exit stopping,VERB NOUN,VBG NN,ROOT dobj,2,0
7639,stopping regionserversnapshotmanager,info,1.0,stop regionserversnapshotmanager,VERB NOUN,VBG NN,ROOT dobj,2,0
7643,stopping server,info,1.0,stop server,VERB NOUN,VBG NN,compound ROOT,2,0
7665,updated tableinfo,info,1.0,update tableinfo,VERB NOUN,VBN NN,amod ROOT,2,0
7681,starting procedure,info,1.0,start procedure,VERB NOUN,VBG NN,compound ROOT,2,0
7696,setting compression,info,1.0,set compression,VERB NOUN,VBG NN,ROOT dobj,2,0
7726,replicated tables,info,1.0,replicate table,VERB NOUN,VBN NNS,amod ROOT,2,0
7764,failed start,info,1.0,fail start,VERB NOUN,VBN NN,amod ROOT,2,0
7827,creating admin,info,1.0,create admin,VERB NOUN,VBG NN,ROOT dobj,2,0
7829,blocking compactions,info,1.0,block compaction,VERB NOUN,VBG NNS,amod ROOT,2,0
7834,expected count,info,1.0,expect count,VERB NOUN,VBN NN,amod ROOT,2,0
7838,resolved localhost,info,1.0,resolve localhost,VERB NOUN,VBN NN,amod ROOT,2,0
7839,resolved localhost,info,1.0,resolve localhost,VERB NOUN,VBN NN,amod ROOT,2,0
7851,starting count,info,1.0,start count,VERB NOUN,VBG NN,amod ROOT,2,0
7871,flushing table,info,1.0,flush table,VERB NOUN,VBG NN,amod ROOT,2,0
7892,expected error,info,1.0,expect error,VERB NOUN,VBN NN,amod ROOT,2,0
7900,expected droppedsnapshotexception,info,1.0,expect droppedsnapshotexception,VERB NOUN,VBN NN,amod ROOT,2,0
7949,loaded key,info,1.0,load key,VERB NOUN,VBN NN,amod ROOT,2,0
7986,moved region,info,1.0,move region,VERB NOUN,VBN NN,amod ROOT,2,0
7992,starting testput,info,1.0,start testput,VERB NOUN,VBG NN,ROOT dobj,2,0
7993,starting testparallelputs,info,1.0,start testparallelputs,VERB NOUN,VBG NN,ROOT dobj,2,0
8004,starting testcansplitjustafterasplit,info,1.0,start testcansplitjustafterasplit,VERB NOUN,VBG NN,ROOT dobj,2,0
8005,starting testfromclientsidewhilesplitting,info,1.0,start testfromclientsidewhilesplitting,VERB NOUN,VBG NN,ROOT dobj,2,0
8022,wrote data,info,1.0,write datum,VERB NOUN,VBD NNS,ROOT dobj,2,0
8023,flushed table,info,1.0,flush table,VERB NOUN,VBN NN,amod ROOT,2,0
8040,restarted datanodes,info,1.0,restart datanode,VERB NOUN,VBN NNS,amod ROOT,2,0
8046,validated row,info,1.0,validate row,VERB NOUN,VBN NN,amod ROOT,2,0
8050,starting testlogrollonpipelinerestart,info,1.0,start testlogrollonpipelinerestart,VERB NOUN,VBG NN,ROOT dobj,2,0
8081,beginning trial,info,1.0,begin trial,VERB NOUN,VBG NN,ROOT dobj,2,0
8093,modifying table,info,1.0,modify table,VERB NOUN,VBG NN,amod ROOT,2,0
8095,creating table,info,1.0,create table,VERB NOUN,VBG NN,compound ROOT,2,0
8106,create table,info,1.0,create table,VERB NOUN,VB NN,ROOT dobj,2,0
8109,using inmemoryclientprovider,info,1.0,use inmemoryclientprovider,VERB NOUN,VBG NN,ROOT dobj,2,1
8124,started thread,info,1.0,start thread,VERB NOUN,VBD NN,ROOT dobj,2,0
8148,found snapshot,info,1.0,find snapshot,VERB NOUN,VBN NN,amod ROOT,2,0
8150,set quota,info,1.0,set quota,VERB NOUN,VB NN,amod ROOT,2,0
8155,writing data,info,1.0,write datum,VERB NOUN,VBG NNS,compound ROOT,2,0
8167,constructing simplesubprocedure,info,1.0,construct simplesubprocedure,VERB NOUN,VBG NN,ROOT dobj,2,0
8168,execute subprocedure,info,1.0,execute subprocedure,VERB NOUN,VB NN,ROOT dobj,2,0
8199,restoring servers,info,1.0,restore server,VERB NOUN,VBG NNS,ROOT dobj,2,0
8201,moving servers,info,1.0,move server,VERB NOUN,VBG NNS,amod ROOT,2,0
8202,remove group,info,1.0,remove group,VERB NOUN,VB NN,ROOT dobj,2,0
8211,moving table,info,1.0,move table,VERB NOUN,VBG NN,amod ROOT,2,0
8214,stopped master,info,1.0,stop master,VERB NOUN,VBN NN,amod ROOT,2,0
8215,started master,info,1.0,start master,VERB NOUN,VBD NN,ROOT dobj,2,0
8255,waiting latch,info,1.0,wait latch,VERB NOUN,VBG NN,amod ROOT,2,0
8264,flushing table,info,1.0,flush table,VERB NOUN,VBG NN,amod ROOT,2,0
8290,restarting cluster,info,1.0,restart cluster,VERB NOUN,VBG NN,amod ROOT,2,0
8291,started cluster,info,1.0,start cluster,VERB NOUN,VBD NN,ROOT dobj,2,0
8307,splitting table,info,1.0,split table,VERB NOUN,VBG NN,amod ROOT,2,0
8317,expected exception,info,1.0,expect exception,VERB NOUN,VBN NN,amod ROOT,2,0
8325,begin sleep,info,1.0,begin sleep,VERB NOUN,VB NN,ROOT dobj,2,0
8326,finish sleep,info,1.0,finish sleep,VERB NOUN,VB NN,amod ROOT,2,0
8330,ncreating tables,info,1.0,ncreate table,VERB NOUN,VBG NNS,ROOT dobj,2,0
8339,running testregionclosewhennometahbase2428,info,1.0,run testregionclosewhennometahbase2428,VERB NOUN,VBG NN,ROOT dobj,1,0
8340,running testaddingserverbeforeoldisdead2413,info,1.0,run testaddingserverbeforeoldisdead2413,VERB NOUN,VBG NN,ROOT dobj,1,0
8349,created reference,info,1.0,create reference,VERB NOUN,VBN NN,amod ROOT,2,0
8359,moving region,info,1.0,move region,VERB NOUN,VBG NN,amod ROOT,2,0
8365,assigning region,info,1.0,assign region,VERB NOUN,VBG NN,ROOT dobj,2,0
8374,stop datanode,info,1.0,stop datanode,VERB NOUN,VB NN,ROOT dobj,2,0
8407,sending crash,info,1.0,send crash,VERB NOUN,VBG NN,amod ROOT,2,0
8419,starting testbatchwithrowmutation,info,1.0,start testbatchwithrowmutation,VERB NOUN,VBG NN,ROOT dobj,2,0
8424,start test2772,info,1.0,start test2772,VERB NOUN,VB NN,ROOT dobj,1,0
8426,start test3686a,info,1.0,start test3686a,VERB NOUN,VB NN,ROOT dobj,1,0
8429,start test3686a,info,1.0,start test3686a,VERB NOUN,VB NN,ROOT dobj,1,0
8430,start test3686a,info,1.0,start test3686a,VERB NOUN,VB NN,ROOT dobj,1,0
8431,start test3686a,info,1.0,start test3686a,VERB NOUN,VB NN,ROOT dobj,1,0
8433,start test3686b,info,1.0,start test3686b,VERB NOUN,VB NN,ROOT dobj,1,0
8435,starting testbatchincrementswithreturnresultfalse,info,1.0,start testbatchincrementswithreturnresultfalse,VERB NOUN,VBG NN,ROOT dobj,2,0
8451,starting testmultirowmutation,info,1.0,start testmultirowmutation,VERB NOUN,VBG NN,ROOT dobj,2,0
8452,starting testrowmutation,info,1.0,start testrowmutation,VERB NOUN,VBG NN,ROOT dobj,2,0
8453,starting testbatchappendwithreturnresultfalse,info,1.0,start testbatchappendwithreturnresultfalse,VERB NOUN,VBG NN,ROOT dobj,2,0
8454,starting testappend,info,1.0,start testappend,VERB NOUN,VBG NN,amod ROOT,2,0
8470,started test,info,1.0,start test,VERB NOUN,VBD NN,ROOT dobj,2,0
8472,stopping master,info,1.0,stop master,VERB NOUN,VBG NN,compound ROOT,2,0
8475,starting master,info,1.0,start master,VERB NOUN,VBG NN,compound ROOT,2,0
8502,validating data,info,1.0,validate datum,VERB NOUN,VBG NNS,amod ROOT,2,0
8503,splitting table,info,1.0,split table,VERB NOUN,VBG NN,amod ROOT,2,0
8505,starting delete,info,1.0,start delete,VERB NOUN,VBG NN,ROOT dobj,2,0
8517,get exception,info,1.0,get exception,VERB NOUN,VB NN,ROOT dobj,2,1
8518,flushing region,info,1.0,flush region,VERB NOUN,VBG NN,amod ROOT,2,0
8533,rolling wals,info,1.0,roll wal,VERB NOUN,VBG NNS,compound ROOT,2,0
8536,start coprocessor,info,1.0,start coprocessor,VERB NOUN,VB NN,ROOT dobj,2,0
8537,create file,info,1.0,create file,VERB NOUN,VB NN,ROOT dobj,2,0
8541,killing datanode,info,1.0,kill datanode,VERB NOUN,VBG NN,amod ROOT,2,0
8542,killed datanode,info,1.0,kill datanode,VERB NOUN,VBN NN,amod ROOT,2,0
8556,execute step,info,1.0,execute step,VERB NOUN,VB NN,compound ROOT,2,0
8557,execute step,info,1.0,execute step,VERB NOUN,VB NN,compound ROOT,2,0
8558,execute step,info,1.0,execute step,VERB NOUN,VB NN,compound ROOT,2,0
8559,execute step,info,1.0,execute step,VERB NOUN,VB NN,compound ROOT,2,0
8560,aborted step,info,1.0,abort step,VERB NOUN,VBN NN,amod ROOT,2,0
8572,handle timeout,info,1.0,handle timeout,VERB NOUN,VB NN,ROOT dobj,2,0
8578,restart start,info,1.0,restart start,VERB NOUN,VB NN,amod ROOT,2,0
8583,begin restart1,info,1.0,begin restart1,VERB NOUN,VB NN,ROOT dobj,1,0
8585,begin restart2,info,1.0,begin restart2,VERB NOUN,VB NN,ROOT dobj,1,0
8595,loaded metricregistries,info,1.0,load metricregistrie,VERB NOUN,VBN NNS,amod ROOT,2,0
8613,constructing logrollbackupsubprocedure,info,1.0,construct logrollbackupsubprocedure,VERB NOUN,VBG NN,ROOT dobj,2,0
8615,stopping regionserverbackupmanager,info,1.0,stop regionserverbackupmanager,VERB NOUN,VBG NN,ROOT dobj,2,0
8627,stopping backuplogcleaner,info,1.0,stop backuplogcleaner,VERB NOUN,VBG NN,ROOT dobj,2,0
8629,deleting backup,info,1.0,delete backup,VERB NOUN,VBG NN,amod ROOT,2,0
8630,delete backup,info,1.0,delete backup,VERB NOUN,VB NN,ROOT dobj,2,0
8639,running stage,info,1.0,run stage,VERB NOUN,VBG NN,compound ROOT,2,0
8692,returning result,info,1.0,return result,VERB NOUN,VBG NN,amod ROOT,2,0
8693,got value,info,1.0,got value,VERB NOUN,VBP NN,ROOT dobj,2,0
8740,forcing download,info,1.0,force download,VERB NOUN,VBG NN,amod ROOT,2,0
8753,begin testjersey,info,1.0,begin testjersey,VERB NOUN,VB NN,ROOT dobj,2,0
8757,got exception,info,1.0,got exception,VERB NOUN,VBP NN,ROOT dobj,2,0
8762,creating memcachedblockcache,info,1.0,create memcachedblockcache,VERB NOUN,VBG NN,ROOT dobj,2,0
8763,starting service,info,1.0,start service,VERB NOUN,VBG NN,ROOT dobj,2,0
8764,stopping service,info,1.0,stop service,VERB NOUN,VBG NN,amod ROOT,2,0
8765,caught exception,info,1.0,catch exception,VERB NOUN,VBN NN,amod ROOT,2,0
8817,caught exception,info,1.0,catch exception,VERB NOUN,VBN NN,amod ROOT,2,0
8872,stopping test,info,1.0,stop test,VERB NOUN,VBG NN,amod ROOT,2,0
8994,destroying keystore,info,1.0,destroy keystore,VERB NOUN,VBG NN,ROOT dobj,2,0
9008,executed program,info,1.0,execute program,VERB NOUN,VBN NN,amod ROOT,2,0
9009,generated records,info,1.0,generate record,VERB NOUN,VBN NNS,amod ROOT,2,0
9025,starting zookeeper,info,1.0,start zookeeper,VERB NOUN,VBG NN,amod ROOT,2,0
9087,opening streamsortoperator,info,1.0,open streamsortoperator,VERB NOUN,VBG NN,amod ROOT,2,0
9089,opening rowtimesortoperator,info,1.0,open rowtimesortoperator,VERB NOUN,VBG NN,amod ROOT,2,0
9090,opening proctimesortoperator,info,1.0,open proctimesortoperator,VERB NOUN,VBG NN,amod ROOT,2,0
9091,opening sortoperator,info,1.0,open sortoperator,VERB NOUN,VBG NN,compound ROOT,2,0
9155,found resource,info,1.0,find resource,VERB NOUN,VBN NN,amod ROOT,2,0
9170,starting perjobyarncluster,info,1.0,start perjobyarncluster,VERB NOUN,VBG NN,ROOT dobj,2,0
9173,starting testnonexistingqueuewarnmessage,info,1.0,start testnonexistingqueuewarnmessage,VERB NOUN,VBG NN,ROOT dobj,2,0
9175,starting perjobyarnclusterwithparallelism,info,1.0,start perjobyarnclusterwithparallelism,VERB NOUN,VBG NN,ROOT dobj,2,0
9176,finished perjobyarnclusterwithparallelism,info,1.0,finish perjobyarnclusterwithparallelism,VERB NOUN,VBN NN,amod ROOT,2,0
9177,starting testdetachedperjobyarncluster,info,1.0,start testdetachedperjobyarncluster,VERB NOUN,VBG NN,ROOT dobj,2,0
9179,starting testdetachedperjobyarnclusterwithstreamingjob,info,1.0,start testdetachedperjobyarnclusterwithstreamingjob,VERB NOUN,VBG NN,ROOT dobj,2,0
9180,finished testdetachedperjobyarnclusterwithstreamingjob,info,1.0,finish testdetachedperjobyarnclusterwithstreamingjob,VERB NOUN,VBN NN,amod ROOT,2,0
9191,starting testdetachedmode,info,1.0,start testdetachedmode,VERB NOUN,VBG NN,ROOT dobj,2,0
9196,starting testquerycluster,info,1.0,start testquerycluster,VERB NOUN,VBG NN,ROOT dobj,2,0
9197,finished testquerycluster,info,1.0,finish testquerycluster,VERB NOUN,VBN NN,amod ROOT,2,0
9198,starting testresourcecomputation,info,1.0,start testresourcecomputation,VERB NOUN,VBG NN,ROOT dobj,2,0
9199,finished testresourcecomputation,info,1.0,finish testresourcecomputation,VERB NOUN,VBN NN,amod ROOT,2,0
9208,starting miniyarncluster,info,1.0,start miniyarncluster,VERB NOUN,VBG NN,ROOT dobj,2,0
9210,starting minidfscluster,info,1.0,start minidfscluster,VERB NOUN,VBG NN,ROOT dobj,2,0
9261,stopping slotpool,info,1.0,stop slotpool,VERB NOUN,VBG NN,ROOT dobj,2,0
9484,register taskmanager,info,1.0,register taskmanager,VERB NOUN,VB NN,compound ROOT,2,0
9538,forwarding split,info,1.0,forward split,VERB NOUN,VBG NN,amod ROOT,2,0
9589,testing cross,info,1.0,test cross,VERB NOUN,VBG NN,ROOT dobj,2,0
9591,considering address,info,1.0,consider address,VERB NOUN,VBG NN,amod ROOT,2,0
9594,using address,info,1.0,use address,VERB NOUN,VBG NN,ROOT dobj,2,1
9598,triggering savepoint,info,1.0,trigger savepoint,VERB NOUN,VBG NN,ROOT dobj,2,0
9606,submitting job,info,1.0,submit job,VERB NOUN,VBG NN,amod ROOT,2,0
9609,retrieved savepoint,info,1.0,retrieve savepoint,VERB NOUN,VBN NN,amod ROOT,2,0
9612,throwing exception,info,1.0,throw exception,VERB NOUN,VBG NN,compound ROOT,2,0
9650,connecting mesos,info,1.0,connect meso,VERB NOUN,VBG NNS,amod ROOT,2,0
9679,starting kafkashortretentiontestbase,info,1.0,start kafkashortretentiontestbase,VERB NOUN,VBG NN,ROOT dobj,2,0
9681,stopping producer,info,1.0,stop producer,VERB NOUN,VBG NN,amod ROOT,2,0
9684,starting kafkaserver,info,1.0,start kafkaserver,VERB NOUN,VBG NN,ROOT dobj,2,0
9687,starting kafkatestbase,info,1.0,start kafkatestbase,VERB NOUN,VBG NN,ROOT dobj,2,0
9772,initializing hbaseconfiguration,info,1.0,initialize hbaseconfiguration,VERB NOUN,VBG NN,ROOT dobj,2,0
9794,splitting shard,info,1.0,split shard,VERB NOUN,VBG NN,compound ROOT,2,0
9795,merging shards,info,1.0,merge shard,VERB NOUN,VBG NNS,amod ROOT,2,0
9804,starting poller,info,1.0,start poller,VERB NOUN,VBG NN,amod ROOT,2,0
10123,testing zookeepers,info,1.0,test zookeeper,VERB NOUN,VBG NNS,ROOT dobj,2,0
10134,deleting cluster,info,1.0,delete cluster,VERB NOUN,VBG NN,amod ROOT,2,0
10140,checking secrets,info,1.0,check secret,VERB NOUN,VBG NNS,ROOT dobj,2,0
10321,creating cluster,info,1.0,create cluster,VERB NOUN,VBG NN,compound ROOT,2,0
10359,deploying kafka,info,1.0,deploy kafka,VERB NOUN,VBG NN,ROOT dobj,2,0
10361,deploying keycloak,info,1.0,deploy keycloak,VERB NOUN,VBG NN,compound ROOT,2,0
10526,setting test,info,1.0,set test,VERB NOUN,VBG NN,ROOT dobj,2,0
10590,using config,info,1.0,use config,VERB NOUN,VBG NN,ROOT dobj,2,1
10602,creating crd,info,1.0,create crd,VERB NOUN,VBG NN,ROOT dobj,2,0
10603,created crd,info,1.0,create crd,VERB NOUN,VBN NN,amod ROOT,2,0
10605,creating resource,info,1.0,create resource,VERB NOUN,VBG NN,compound ROOT,2,0
10607,deleting resource,info,1.0,delete resource,VERB NOUN,VBG NN,amod ROOT,2,0
10615,configuring connectors,info,1.0,configure connector,VERB NOUN,VBG NNS,ROOT dobj,2,0
10643,starting kafkaconfigbackingstore,info,1.0,start kafkaconfigbackingstore,VERB NOUN,VBG NN,ROOT dobj,2,0
10644,started kafkaconfigbackingstore,info,1.0,start kafkaconfigbackingstore,VERB NOUN,VBD NN,ROOT dobj,2,0
10645,closing kafkaconfigbackingstore,info,1.0,close kafkaconfigbackingstore,VERB NOUN,VBG NN,compound ROOT,2,0
10646,closed kafkaconfigbackingstore,info,1.0,close kafkaconfigbackingstore,VERB NOUN,VBN NN,amod ROOT,2,0
